Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
HYUNDAI Tucson;285000;2019;139 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110704.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472723/hyundai-tucson-.html
HYUNDAI Tucson 1.6;300000;2022;70 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-611909.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455468/hyundai-tucson-16.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-388458.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468926/hyundai-tucson-.html
HYUNDAI Tucson;306000;2024;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-863384.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465762/hyundai-tucson-.html
HYUNDAI Tucson;315000;2022;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-513272.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478242/hyundai-tucson-.html
HYUNDAI Tucson;410000;2024;34 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-470581.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479104/hyundai-tucson-.html
HYUNDAI Tucson;284000;2019;89 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-901592.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465761/hyundai-tucson-.html
HYUNDAI Tucson Htrac usa 4x4…;296998;2022;29 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-867892.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469016/hyundai-tucson-htrac-usa-4x4-sel-confort.html
HYUNDAI Tucson;0;2019;149 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110975.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448157/hyundai-tucson-.html
HYUNDAI Tucson Luxe + 2023;0;2023;39 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-545882.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470442/hyundai-tucson-luxe-2023.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-767813.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480101/hyundai-tucson-.html
HYUNDAI Tucson;268000;2022;67 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-728042.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455304/hyundai-tucson-.html
HYUNDAI Tucson;228000;2018;159 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-873229.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479668/hyundai-tucson-.html
HYUNDAI Tucson 1.6 crdi 134 cv…;270000;2023;60 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-892340.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480745/hyundai-tucson-16-crdi-134-cv-prestige.html
HYUNDAI Tucson;0;2021;99 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-131626.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464684/hyundai-tucson-.html
HYUNDAI Tucson;205000;2020;139 000;Manuelle;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-403318.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466209/hyundai-tucson-.html
HYUNDAI Tucson;0;2021;139 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-261403.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462867/hyundai-tucson-.html
HYUNDAI Tucson;0;2022;109 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-738112.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448153/hyundai-tucson-.html
HYUNDAI Tucson;210000;2017;139 000;Automatique;Diesel;Hyundai;Tucson;Rabat;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-598924.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480754/hyundai-tucson-.html
HYUNDAI Tucson;214000;2019;74 000;Manuelle;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-990051.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480230/hyundai-tucson-.html
HYUNDAI Tucson;305000;2022;39 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-385788.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/476386/hyundai-tucson-.html
HYUNDAI Tucson;290000;2023;14 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-172380.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480168/hyundai-tucson-.html
HYUNDAI Tucson;0;2020;109 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-574762.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479046/hyundai-tucson-.html
HYUNDAI Tucson Cc;290000;2021;155 000;Automatique;Diesel;Hyundai;Tucson;Tanger;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-364975.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480726/hyundai-tucson-cc.html
HYUNDAI Tucson;315000;2021;139 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-612797.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468318/hyundai-tucson-.html
HYUNDAI Tucson Premium 2019;0;2019;89 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-286417.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/471345/hyundai-tucson-premium-2019.html
HYUNDAI Tucson;0;2023;89 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-836665.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478327/hyundai-tucson-.html
HYUNDAI Tucson;419000;2025;4 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-408878.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472229/hyundai-tucson-.html
HYUNDAI Tucson;335000;2023;47 160;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-303746.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470319/hyundai-tucson-.html
HYUNDAI Tucson;320000;2024;39 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-835121.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478438/hyundai-tucson-.html
HYUNDAI Tucson;285000;2019;139 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110704.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472723/hyundai-tucson-.html
HYUNDAI Tucson 1.6;300000;2022;70 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-611909.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455468/hyundai-tucson-16.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-388458.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468926/hyundai-tucson-.html
HYUNDAI Tucson;306000;2024;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-863384.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465762/hyundai-tucson-.html
HYUNDAI Tucson;315000;2022;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-513272.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478242/hyundai-tucson-.html
HYUNDAI Tucson;410000;2024;34 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-470581.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479104/hyundai-tucson-.html
HYUNDAI Tucson;284000;2019;89 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-901592.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465761/hyundai-tucson-.html
HYUNDAI Tucson Htrac usa 4x4…;296998;2022;29 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-867892.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469016/hyundai-tucson-htrac-usa-4x4-sel-confort.html
HYUNDAI Tucson;0;2019;149 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110975.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448157/hyundai-tucson-.html
HYUNDAI Tucson Luxe + 2023;0;2023;39 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-545882.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470442/hyundai-tucson-luxe-2023.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-767813.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480101/hyundai-tucson-.html
HYUNDAI Tucson;268000;2022;67 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-728042.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455304/hyundai-tucson-.html
HYUNDAI Tucson;228000;2018;159 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-873229.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479668/hyundai-tucson-.html
HYUNDAI Tucson 1.6 crdi 134 cv…;270000;2023;60 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-892340.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480745/hyundai-tucson-16-crdi-134-cv-prestige.html
HYUNDAI Tucson;0;2021;99 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-131626.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464684/hyundai-tucson-.html
HYUNDAI Tucson;205000;2020;139 000;Manuelle;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-403318.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466209/hyundai-tucson-.html
HYUNDAI Tucson;0;2021;139 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-261403.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462867/hyundai-tucson-.html
HYUNDAI Tucson;0;2022;109 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-738112.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448153/hyundai-tucson-.html
HYUNDAI Tucson;210000;2017;139 000;Automatique;Diesel;Hyundai;Tucson;Rabat;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-598924.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480754/hyundai-tucson-.html
HYUNDAI Tucson;214000;2019;74 000;Manuelle;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-990051.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480230/hyundai-tucson-.html
HYUNDAI Tucson;305000;2022;39 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-385788.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/476386/hyundai-tucson-.html
HYUNDAI Tucson;290000;2023;14 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-172380.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480168/hyundai-tucson-.html
HYUNDAI Tucson;0;2020;109 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-574762.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479046/hyundai-tucson-.html
HYUNDAI Tucson Cc;290000;2021;155 000;Automatique;Diesel;Hyundai;Tucson;Tanger;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-364975.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480726/hyundai-tucson-cc.html
HYUNDAI Tucson;315000;2021;139 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-612797.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468318/hyundai-tucson-.html
HYUNDAI Tucson Premium 2019;0;2019;89 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-286417.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/471345/hyundai-tucson-premium-2019.html
HYUNDAI Tucson;0;2023;89 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-836665.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478327/hyundai-tucson-.html
HYUNDAI Tucson;419000;2025;4 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-408878.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472229/hyundai-tucson-.html
HYUNDAI Tucson;335000;2023;47 160;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-303746.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470319/hyundai-tucson-.html
HYUNDAI Tucson;320000;2024;39 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-835121.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478438/hyundai-tucson-.html
HYUNDAI Tucson;285000;2019;139 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110704.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472723/hyundai-tucson-.html
HYUNDAI Tucson 1.6;300000;2022;70 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-611909.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455468/hyundai-tucson-16.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-388458.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468926/hyundai-tucson-.html
HYUNDAI Tucson;306000;2024;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-863384.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465762/hyundai-tucson-.html
HYUNDAI Tucson;315000;2022;74 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-513272.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/478242/hyundai-tucson-.html
HYUNDAI Tucson;410000;2024;34 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-470581.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479104/hyundai-tucson-.html
HYUNDAI Tucson;284000;2019;89 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-901592.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465761/hyundai-tucson-.html
HYUNDAI Tucson Htrac usa 4x4…;296998;2022;29 000;Automatique;Hybride;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-867892.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469016/hyundai-tucson-htrac-usa-4x4-sel-confort.html
HYUNDAI Tucson;0;2019;149 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-110975.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448157/hyundai-tucson-.html
HYUNDAI Tucson Luxe + 2023;0;2023;39 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-545882.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470442/hyundai-tucson-luxe-2023.html
HYUNDAI Tucson;0;2020;119 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-767813.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480101/hyundai-tucson-.html
HYUNDAI Tucson;268000;2022;67 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-728042.png;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/455304/hyundai-tucson-.html
HYUNDAI Tucson;228000;2018;159 000;Automatique;Diesel;Hyundai;Tucson;Casablanca;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-873229.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/479668/hyundai-tucson-.html
HYUNDAI Tucson 1.6 crdi 134 cv…;270000;2023;60 000;Automatique;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-892340.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480745/hyundai-tucson-16-crdi-134-cv-prestige.html
HYUNDAI Tucson;0;2021;99 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-131626.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464684/hyundai-tucson-.html
HYUNDAI Tucson;205000;2020;139 000;Manuelle;Diesel;Hyundai;Tucson;Marrakech;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-403318.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466209/hyundai-tucson-.html
HYUNDAI Tucson;0;2021;139 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-261403.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462867/hyundai-tucson-.html
HYUNDAI Tucson;0;2022;109 000;Automatique;Diesel;Hyundai;Tucson;;https://www.moteur.ma/media/photos/ads/resized/hyundai-tucson-738112.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448153/hyundai-tucson-.html
